"imdb","metascore","votes"
8.5,67,1187559
8.5,80,1014199
8.3,68,688394
7.4,64,526411
7.8,73,465125
7.6,64,422475
7.3,62,335334
7,73,290126
7.8,69,261119
7.9,93,237498
7.2,63,234473
7.9,90,232474
8.1,83,204468
7.6,86,184710
7.3,64,166739
7,88,161403
7.7,81,157589
7.5,79,157024
7.3,70,156918
7.3,73,156488
7.7,74,112664
6.6,77,110410
8.1,85,103042
7.4,67,93428
8.8,92,1478783
8.2,72,756786
8.1,78,724068
8.1,88,688260
8.3,69,641467
7.6,64,558883
7.9,84,551023
8.6,96,542956
7.8,74,467764
7.7,69,351876
7.7,74,334764
7.6,74,309699
8,83,286463
7.1,65,271351
7.6,66,249368
7.6,76,242710
6.6,61,228393
6.7,66,203237
7.1,63,133889
6.8,71,112132
7.4,88,105974
7.7,88,105537
8.7,87,1322110
8.1,75,699897
8.6,79,632933
7.3,73,628892
8.5,85,626716
7.4,63,482674
7.9,68,469099
7.7,80,463204
7.5,72,366108
7.6,73,341350
7.2,78,250595
6.8,65,234144
7.7,72,225901
7.1,77,224920
7.2,82,198403
6.2,62,181721
7.9,85,164310
7.7,83,163423
7.7,67,161595
7.1,75,158920
7.2,73,146553
8,72,133918
7.3,78,130154
7.2,65,119350
7.8,61,118564
7.2,85,116382
7.6,80,115285
6.6,62,112533
8.1,75,110139
8.9,94,1462118
8,63,950582
8.1,69,888283
8.1,90,851025
7.5,68,472534
7.2,62,471761
8.4,74,448739
8,84,383967
7.8,89,369050
6.3,66,344420
7,68,318733
7.1,82,240423
7.7,70,210781
7.3,64,206712
6.9,64,188866
7.4,81,187573
7.2,73,130773
7.7,68,127944
7.1,70,126465
7.3,74,122983
7.3,61,117042
6.2,70,113525
8.3,89,809622
8,83,602907
8,90,587630
8.1,86,577821
7.3,83,490239
7.9,82,478915
7.9,76,462350
7.8,73,402337
7.8,69,397322
7.2,75,373496
7.5,71,331829
7.7,61,325710
8.1,79,309417
7.2,63,304484
7.5,77,303496
8.2,82,299374
7,66,296045
6.9,72,281206
8.2,80,276466
8.1,90,203873
7.5,67,200264
7.7,67,189632
7.3,65,188384
6.8,62,182980
6.9,64,181743
7.1,64,170592
8.3,70,1171391
8.2,62,938585
8,74,710505
7.6,68,628708
7.7,81,478501
6.7,72,382721
6.5,73,382358
7.2,81,361574
7.1,73,357675
6.9,75,334831
7,64,310828
7.7,87,295425
7.6,62,274866
7.9,74,267252
7.2,63,247421
7.8,82,227406
7.4,83,220470
7.9,72,209943
7.5,81,208502
7.6,71,204700
7.6,72,200301
7.6,74,196713
7.6,72,189078
7.2,71,181892
6.8,63,175716
8,69,164951
8.5,85,1054865
8.5,66,1043786
8.2,98,563084
8,80,532617
8,64,457064
7.9,84,423783
7.8,80,404340
8,64,399064
7.6,68,334017
6.9,62,333742
7.3,89,328813
7.1,73,321039
8.4,89,316465
7.6,76,310135
6.9,66,301831
7.5,69,270695
7.8,68,267667
6.1,72,258606
7.6,67,205208
7.2,63,187227
7.7,74,163662
6.5,77,155275
6.6,66,151324
6.7,67,145380
7.9,89,145116
8.1,91,752739
7.2,65,624229
8,85,575228
8,96,566104
7.1,61,564269
8.1,73,516918
7.6,76,476320
7.5,81,460896
8.2,93,455644
7.5,71,443705
7.9,81,418254
7.7,78,382232
7.1,69,367903
7.8,76,362281
7,85,328166
7.4,83,318528
6.9,62,293708
7.3,80,288308
7.7,76,266913
6.8,64,239015
7,78,238981
7.7,66,236870
7.7,72,230347
7.8,85,225195
7.3,64,217310
7.7,82,211952
6.3,68,205966
6.9,62,205476
7.6,77,168360
7.2,68,166765
7.1,75,163221
7.2,67,162991
9,84,2020298
8.4,95,887059
7.9,79,833410
8,86,737092
8.1,72,660559
7.8,70,531326
6.8,61,387633
7.6,94,386666
6.2,65,386439
7.6,73,372488
7.9,67,356760
7,71,347344
7,64,347056
6.7,64,335979
7,64,289019
7,63,283739
7.9,81,275205
7.2,67,244595
7,78,236112
7.1,70,225168
7.7,63,221065
6.9,61,209788
7.9,82,193157
6.7,61,178943
6.5,62,176120
7.3,69,175467
8.3,69,1095469
7.8,83,1025696
8.3,88,826985
7.7,73,659826
7.9,81,597305
8,82,552500
7.6,73,450316
7.7,76,435020
7.6,78,408649
7.9,67,308043
7.4,83,297985
8.4,67,292171
7,70,258567
7.3,64,204685
7.8,76,195787
7.8,63,193670
7,70,183933
7,66,182670
7.7,80,176052
6.6,83,175315
7.9,83,173546
8.2,80,169811
8.8,74,1799695
8.1,63,983982
8.3,92,667157
8,79,638580
8.1,74,595638
8,88,584869
7.7,95,560871
7.6,66,491089
7.7,72,456440
7.7,65,415351
7.8,71,358425
7.5,69,331928
7.1,72,324718
7.6,82,319032
7.6,74,318372
7.8,79,312613
7.6,80,279638
6.4,65,274457
6.7,64,218263
7.3,63,203939
6.8,69,170865
7.4,81,167676
6.4,65,160290
6.4,63,152544
8.1,87,678138
6.9,66,637116
7.7,65,598227
7.8,78,513419
7.6,68,467487
7.5,74,445963
7.4,68,431726
7.4,73,422185
8.2,71,398258
8.1,62,386064
7.8,71,382537
7.7,81,351333
7,72,332792
7.3,66,325713
7.6,87,321309
7,72,317641
6.6,63,312923
7.7,72,297692
7.5,83,281439
6.8,75,246487
6.8,64,226513
7.2,67,223198
7.3,84,221929
7.9,89,215060
7.2,75,212441
7.1,67,205955
7.3,68,200010
6.6,70,199426
8.4,78,1361582
8.4,81,1184449
8.1,69,1149602
7.2,68,786116
7.7,81,613832
7.8,81,585725
7,64,532734
6.9,62,531643
7.7,86,527836
7.9,79,525112
7,66,517059
7.4,84,493725
7.2,69,470883
8,67,416943
7.7,72,333746
7.1,69,331566
7.3,76,299084
7.8,84,287237
7.6,63,282043
6.7,61,265306
7.2,66,252198
7.4,95,246991
8.3,77,235152
7.1,69,227120
7.4,86,225938
7.3,68,223386
7.2,66,220331
7.6,68,208785
7.6,73,174458
8.2,75,1010016
7.7,96,696061
7.2,62,668687
7.5,76,567635
8.1,96,565827
7.8,66,558271
7,63,544762
8.1,74,514497
7.5,74,507325
8,90,455554
7.7,72,441925
6.9,65,438244
7.2,90,412847
8,84,396291
6.7,61,393240
6.6,61,390269
7.5,68,387033
8.1,75,385514
7.8,83,381462
6.6,67,355770
7.1,61,342558
7.4,62,338268
7.3,65,286206
7.1,84,231500
7,81,228522
6.6,66,213885
8.6,74,1260178
8.1,76,909491
8.1,79,744839
7.8,70,637435
8.1,88,620793
8,75,607538
8,73,606173
8.5,88,596604
7.9,71,536230
7.7,88,507863
7.3,68,418218
7.7,78,413878
6.4,61,395561
7.9,76,394875
7.3,72,394677
7.6,79,384705
7.6,64,374610
6.7,64,371840
7.8,74,360441
7.7,72,352366
6.4,62,342003
7,71,313884
7.9,100,312102
7.7,69,309125
7.8,83,296822
7.8,76,267510
6.3,68,261764
5.8,68,226480
7.5,69,220872
6.8,83,177686
7.3,68,170468
8,81,771423
8.1,90,761856
8,80,661549
7.4,66,630202
8,76,602477
8.2,94,520847
7.3,64,473856
7.8,68,420700
8.1,93,354389
7.2,67,330634
7.6,82,320261
7.4,75,305140
8.2,86,304092
7.8,81,300718
7.6,81,258279
6.6,65,244921
7.6,82,216168
7,75,210922
7.1,64,178261
7.1,82,173862
7.9,72,162665
6.9,68,153618
6.8,83,147873
7.1,66,143138
6.9,67,138928
7.2,82,136188
8,65,796829
7.8,75,549499
7.9,81,496411
7.5,72,480681
7.8,65,463584
8,93,419646
8,78,371352
8.1,71,353791
7.3,66,351727
7.3,62,332038
7.2,76,254881
7.4,77,237140
7.4,70,232887
7.4,99,218088
7.6,81,215895
7.8,96,208056
7.3,77,207762
7.1,68,205814
7.5,67,199092
7.5,74,196000
7.4,65,187616
7.1,71,180899
8.1,69,175149
7.6,88,170151
7.8,74,165141
6.5,61,157088
6.2,66,155591
7.9,72,153785
8.1,77,536592
7.5,76,465846
7.9,94,448145
7.7,67,445787
7.2,85,444673
7.9,74,432482
7.5,73,391538
7.7,84,367958
8,81,361924
7.6,86,347028
7.4,69,337559
8.2,88,321785
7.3,87,288998
7.5,75,261092
8.4,81,256973
7.2,65,229129
6.6,62,227031
6.4,65,219603
7.5,82,194833
7.4,94,167034
7.7,73,160980
6.6,75,148370
6.7,63,144255
7.9,93,144024
7.5,77,131868
7.4,75,129492
7.2,65,124810
7.3,75,111193
7.4,76,106238
